perturbation,family,key,spearman,overlap_pct,swaps_top10,entered_top40,left_top40
remove succession,edge-removal,composite,0.999,100,0,,
remove sources tier-1-2 primary/institutional,source-family,authority,0.966,90,0,abdelhamid-escheikh;lotfi-brahem;kamel-feki;khaled-nouri,fouad-mebazaa;moncef-marzouki;beji-caid-essebsi;ali-laarayedh
remove sources tier-1-2 primary/institutional,source-family,proximity,0.923,82.5,1,ali-chebbi;ghazi-jeribi;taieb-mehiri;hedi-khefacha;ahmed-mestiri;tahar-belkhodja;habib-ammar,moncef-marzouki;hamadi-jebali;ali-laarayedh;mehdi-jomaa;elyes-fakhfakh;najla-bouden;ahmed-hachani
remove sources tier-1-2 primary/institutional,source-family,survival,0.94,87.5,0,ghazi-chaouachi;maya-jribi;zouhair-maghzaoui;slim-riahi;lotfi-mraihi,moncef-marzouki;beji-caid-essebsi;youssef-chahed;mohamed-hajem;kamel-akrout
remove sources tier-1-2 primary/institutional,source-family,brokerage,0.785,82.5,5,lotfi-brahem;ahmed-mestiri;khaled-yahyaoui;abdallah-kallel;habib-boulares;ahmed-ben-salah;leila-jaffel,nesrine-ben-ali;sakher-el-materi;fadhel-abdelkefi;ali-seriati;ridha-belhaj;hamadi-jebali;mehdi-jomaa
remove sources tier-1-2 primary/institutional,source-family,reach,1,100,0,,
remove sources tier-1-2 primary/institutional,source-family,influence,1,100,0,,
remove sources tier-1-2 primary/institutional,source-family,composite,0.894,82.5,2,marouane-mabrouk;najet-jaouadi;sadok-mokaddem;ridha-chalghoum;ahmed-nejib-chebbi;abdelhamid-belati;abdallah-kallel,moncef-marzouki;fouad-mebazaa;youssef-chahed;ali-laarayedh;habib-essid;mourad-saidane;najla-bouden
remove sources tier-3 established journalism,source-family,authority,0.637,42.5,0,abdelhamid-escheikh;lotfi-brahem;khaled-nouri;mohamed-najem-gharsalli;hedi-majdoub;hichem-fourati;tawfik-charfeddine;mohamed-habib-dhif;bahi-ladgham;hedi-baccouche;hamadi-jebali;mehdi-jomaa;youssef-chahed;elyes-fakhfakh;najla-bouden;ahmed-hachani;kamel-madouri;sara-zaafarani;hedi-nouira;ali-seriati;mohamed-ali-ganzoui;abderrahmane-belhaj-ali;abdessatar-bennour,kais-saied;rejeb-khaznadar;moustapha-khodja;mohamed-larbi-zarrouk;hussein-khodja;shakir-saheb-ettabaa;hayreddin-pasha;mohammed-khaznadar;mustapha-ben-ismail;mohamed-aziz-bouattour;mhamed-djellouli;youssef-djait;taieb-djellouli;mustapha-dinguizli;khelil-bouhageb;hedi-lakhoua;mohamed-chenik;slaheddine-baccouche;mustapha-kaak;mohamed-salah-mzali;tahar-ben-ammar;ghazi-jeribi;ahmed-mestiri
remove sources tier-3 established journalism,source-family,proximity,0.786,67.5,1,ali-chebbi;taieb-mehiri;hedi-khefacha;tahar-belkhodja;habib-ammar;abdelhamid-escheikh;ali-seriati;mohamed-ali-ganzoui;abderrahmane-belhaj-ali;lotfi-brahem;khaled-nouri;khaled-shili;mohamed-najem-gharsalli,mohammed-mzali;rachid-sfar;sadok-mokaddem;mongi-slim;habib-bourguiba-jr;mohamed-masmoudi;habib-chatti;hassen-belkhodja;hedi-mabrouk;hassib-ben-ammar;bechir-mhedhbi;abdallah-farhat;slaheddine-baly
remove sources tier-3 established journalism,source-family,survival,0.757,72.5,0,ghazi-chaouachi;maya-jribi;zouhair-maghzaoui;slim-riahi;lotfi-mraihi;seifeddine-makhlouf;tarak-cherif;abdelmajid-ezzar;anas-hmaidi;jamel-msallem;othman-battikh,mustapha-ben-jaafar;kais-saied;marouane-abassi;nouri-ben-taous;khaled-yahyaoui;rached-ghannouchi;mohsen-marzouk;abir-moussi;nabil-karoui;abdelwahab-ben-ayed;habib-benhadj-kouider
remove sources tier-3 established journalism,source-family,brokerage,0.748,55,3,issam-chebbi;abdessattar-ben-moussa;kamel-akrout;mohamed-salah-hamdi;faouzi-elloumi;dorsaf-ben-ali;yadh-ben-achour;chawki-tabib;slim-riahi;lotfi-mraihi;abdelaziz-makhloufi;najet-jaouadi;mohamed-abbou;ghazi-chaouachi;sami-hichri;mourad-saidane;habib-ammar;lotfi-brahem,tahar-ben-ammar;nabil-karoui;abdelwahab-ben-ayed;rached-ghannouchi;aziz-miled;hedi-nouira;ismail-khelil;rafik-abdessalem;rachid-sfar;ayachi-hammami;kamel-eltaief;ghazi-jeribi;sarra-rejeb;cyrine-ben-ali;fadhel-abdelkefi;sara-zaafarani;kamel-guizani;kamel-morjane
remove sources tier-3 established journalism,source-family,reach,1,100,0,,
remove sources tier-3 established journalism,source-family,influence,0.996,97.5,0,ibrahim-chaibi,khaled-yahyaoui
remove sources tier-3 established journalism,source-family,composite,0.828,65,1,marouane-mabrouk;najet-jaouadi;ridha-belhaj;abdessattar-ben-moussa;abdelhamid-belati;ahmed-nejib-chebbi;ghazi-chaouachi;slim-riahi;rachid-ammar;habib-ammar;mustapha-kamel-tarzi;kamel-jendoubi;hichem-fourati;yadh-ben-achour,kais-saied;kamel-morjane;nabil-karoui;khaled-yahyaoui;nouri-ben-taous;rached-ghannouchi;abdelkarim-zbidi;mohamed-ghannouchi;brahim-bertagi;lotfi-ben-jeddou;abdelwahab-ben-ayed;ahmed-mestiri;habib-ben-yahia;mustapha-ben-jaafar
remove sources tier-4 regional media,source-family,authority,1,100,0,,
remove sources tier-4 regional media,source-family,proximity,0.994,95,0,ali-chebbi;ghazi-jeribi,yadh-ben-achour;hedi-baccouche
remove sources tier-4 regional media,source-family,survival,0.967,80,0,maya-jribi;zouhair-maghzaoui;slim-riahi;lotfi-mraihi;seifeddine-makhlouf;tarak-cherif;abdelmajid-ezzar;anas-hmaidi,hassine-gharbi;khelifa-harroum;mohamed-salah-hamdi;nouri-lajmi;nejib-ktari;abdessalem-mehdi-grissiaa;brahim-bouderbala;noureddine-taboubi
