dimension,value,records,with_sources,reviewed,with_evidence,origins_known,nonzero,distinct_sources,sparse
source_family,encyclopedia com international directory of company histories,1,1,0,0,0,1,1,1
source_family,english wikipedia,4,3,0,0,0,3,4,0
source_family,english wikipedia index article,1,0,0,0,0,0,1,1
source_family,eni s p a,1,0,0,0,0,0,1,1
source_family,entreprises magazine,1,1,0,0,0,1,1,1
source_family,espace diwan,1,0,0,0,0,0,1,1
source_family,espace manager,8,8,0,0,0,8,8,0
source_family,eur lex official journal of the european union,1,0,0,0,0,0,1,1
source_family,european bank for reconstruction and development,2,0,0,0,0,0,2,1
source_family,european bank for reconstruction and development ebrd,1,0,0,0,0,0,1,1
source_family,european commission directorate general for trade,1,0,0,0,0,0,1,1
source_family,european free trade association,2,0,0,0,0,0,2,1
source_family,european investment bank,2,0,0,0,0,0,2,1
source_family,european union official website,1,0,0,0,0,0,1,1
source_family,fondation pour la maitrise des enjeux strategiques fmes,1,1,0,0,0,1,1,1
source_family,forbes,1,0,0,0,0,0,1,1
source_family,fps foreign affairs foreign trade and development cooperation belgium,1,0,0,0,0,0,1,1
source_family,fr wikipedia,4,4,0,0,0,4,4,0
source_family,france 24,4,4,0,0,0,4,4,0
source_family,french wikipedia,17,17,0,0,0,17,17,0
source_family,french wikipedia municipality list,1,0,0,0,0,0,1,1
source_family,gazzetta ufficiale della repubblica italiana,1,0,0,0,0,0,1,1
source_family,gct site officiel,1,1,0,0,0,1,1,1
source_family,gendarmerie nationale ministere de l interieur france site officiel,1,0,0,0,0,0,1,1
source_family,german federal foreign office,1,1,0,0,0,1,1,1
source_family,giz,1,1,0,0,0,1,1,1
source_family,global media registry al khatt media ownership monitor tunisia,1,1,0,0,0,1,1,1
source_family,globalnet gnet,1,1,0,0,0,1,1,1
source_family,gnet news,1,1,0,0,0,1,1,1
source_family,gnet news gnet tn,1,1,0,0,0,1,1,1
source_family,government of the netherlands,1,0,0,0,0,0,1,1
source_family,habib bourguiba net,1,1,0,0,0,1,1,1
source_family,haica,1,0,0,0,0,0,1,1
source_family,haica haute autorite independante de la communication audiovisuelle,1,0,0,0,0,0,1,1
source_family,hitachi energy,1,0,0,0,0,0,1,1
source_family,human rights watch,4,4,0,0,0,4,4,0
source_family,icmpd,1,1,0,0,0,1,1,1
